This is a list of functions that seem to have two or more definitions
as of early May 2014. I have removed all the ones where tmprint and
fmprint clash since basically everything clashes there!
The entries "lambda_xxxx" are where identical lambda expressions are used,
which is perhaps not a worry but it may be an opportunity to introduce
a tidy named function for that operation.

Where the functions listed here do genuinly differehnt things it will signal
that having the two packages that they exist in loaded at the same time
may cause damage.

!*k2pf                         defined in excalc xideal eds
!*num2id                       defined in gentens indices
matrixml                       defined in mathml mml_ir
matrixp                        defined in linalg splinalg
matrixrd                       defined in mathml mml_ir
matrixrowrd                    defined in mathml mml_ir
matsm1                         defined in matsm sparsmat
maxi                           defined in mrvlimit susy2
maxorder                       defined in isolve approx
median                         defined in geometry geoprover
midpoint                       defined in geometry geoprover
minusml                        defined in mathml mml_ir
minusrd                        defined in mathml mml_ir
mk!+gram!+schmid               defined in gramschm symatvec
mk!+inner!+product             defined in gramschm symatvec
mk!+normalize!+vector          defined in gramschm symatvec
mk!+null!+vec                  defined in gramschm symatvec
mk!+scal!+mult!+vec            defined in gramschm symatvec
mk!+squared!+norm              defined in gramschm symatvec
mk!+vec!+add!+vec              defined in gramschm symatvec
mkequal                        defined in spaces bfdoer2
mkinterval                     defined in spaces numeric
mkmatrix                       defined in lamatrix matarg
mml                            defined in mathml mml_ir
mod                            defined in matop sparsmat
momentrd                       defined in mathml mml_ir
monic                          defined in invbcomp ratint
multd!*                        defined in hephys table1
multi_args                     defined in mathml mml_ir
multi_elem                     defined in mathml mml_ir
multilists                     defined in mathml mml_ir
multiminus                     defined in mathml mml_ir
multsm                         defined in matsm sparsmat
my!+nullsq!+p                  defined in gramschm symatvec
natnumlis                      defined in matrext sparsmat
ndepends                       defined in partdf edspatch
ndependsl                      defined in partdf edspatch
negpf                          defined in excalc xideal eds
newrederr                      defined in zeilberg ztrans
newrederr1                     defined in zeilberg ztrans
newton                         defined in desir ratint
nil2zero                       defined in coddom wu
nodepend                       defined in depend orthovec
noncom                         defined in simp noncom2
norepeat                       defined in mathml tools
norm                           defined in froben ratint
normalform                     defined in matop bibasis_involutive
null!+vec!+p                   defined in gramschm symatvec
oddp                           defined in genpurfn wedge xexcalc
operator_fn                    defined in mathml mml_ir
opfneval                       defined in reval pmpatch
opmtch                         defined in opmtch pmintrfc
ordp                           defined in noncom2 spde
ordpa                          defined in order spde
other_cc_point                 defined in geometry geoprover
other_cl_point                 defined in geometry geoprover
p3_angle                       defined in geometry geoprover
p3_circle                      defined in geometry geoprover
partialdiffrd                  defined in mathml mml_ir
pedalpoint                     defined in geometry geoprover
pfaffian                       defined in calimat systems
point                          defined in geometry geoprover
polynomialp                    defined in odenon1 contfrac integrator
polynomq                       defined in qsum simplede zeilberg
polynomq4                      defined in qsum zeilberg
polynomqqq                     defined in qsum zeilberg residue contfrac
pp_line                        defined in geometry geoprover
prettyprint                    defined in cslcompat pretty
prin2!*                        defined in mprint utf8
print_ndg                      defined in geometry geoprover
printout                       defined in mathml ir2om mml_ir
protected                      defined in minlngth codpri
prsubsetrd                     defined in mathml mml_ir
ps!:numberp                    defined in tps tri
putform                        defined in exintro edspatch
quotientml                     defined in mathml mml_ir
rad                            defined in mathml turtle
rank!-eval                     defined in rank spmateig
rappend                        defined in list baglist
ratexp                         defined in lsprat crutil
rationalp                      defined in codmat ofsf crutil
rcons                          defined in list baglist avector
rdunwrap                       defined in plotnum definta
rdwrap!*                       defined in ludecom plotnum
rdwrap!-expt                   defined in ludecom plotnum
rdwrap2                        defined in ludecom plotnum
realroots                      defined in roots2 realroot
red!-char!-downcase            defined in fortpri fmprint tmprint
reimexpt                       defined in compopr sympatch
relationrd                     defined in mathml mml_ir
reln                           defined in mathml mml_ir
relnrd                         defined in mathml mml_ir
remflag1                       defined in rcref crack
remove_equals                  defined in linalg splinalg
remsym                         defined in control dummycnt ctintro
reordop                        defined in reord noncom2
revalind                       defined in gentens indices
revalindl                      defined in gentens indices
revalnuminterval               defined in numeric plotnum
rewrite                        defined in sparsmat mrvlimit
rfirst                         defined in list baglist
rinsert                        defined in baglist pmintrfc
rl2gfc                         defined in bfauxil complxp
rootrd                         defined in mathml mml_ir
roots                          defined in roots bfdoer
row                            defined in mathml mml_ir
rprint                         defined in rprint sympatch
rrest                          defined in list baglist
rreverse                       defined in list baglist
rsecond                        defined in list baglist
rthird                         defined in list baglist
savesolve                      defined in simplede zeilberg
scalefactors                   defined in avector expres
scprint                        defined in mprint utf8
search_att                     defined in mathml tools
second                         defined in cslrend avector
select!-eval                   defined in map qsum
selectrd                       defined in mathml mml_ir
sep                            defined in convert crsep
seprd                          defined in mathml mml_ir
setmat                         defined in lamatrix matarg
setrd                          defined in mathml mml_ir
sets                           defined in mathml mml_ir
show                           defined in control invbcomp ofsfcadproj
simpcofactor                   defined in cofactor sparsmat
simpdet                        defined in det sparsmat
simpdf                         defined in diff fixes2
simpiden                       defined in simp pmpatch
simpsumsym                     defined in genpurfn ctintro
simptaylor                     defined in approx tayintrf
simptrace                      defined in det sparsmat
size_of_matrix                 defined in linalg froben
sl_unstraightify               defined in rlsched rlsl
solvelnrsys                    defined in solvelnr primitive
solvenonlnrsys2                defined in solvealg edspatch
solvesparsecheck               defined in solvelnr edspatch
solvevaradjust                 defined in solvelnr edspatch
solvevarordp                   defined in solvelnr edspatch
sq2bf!*                        defined in specfn specbess sfgamma
sqrdist                        defined in geometry geoprover
squarep                        defined in linalg splinalg
state_mk                       defined in ofsfexfr clprl
stats_getargs                  defined in mathml mml_ir
sub_math                       defined in mathml mml_ir
subeval0                       defined in sub fixes2
sublistp                       defined in partdf xpowers
subs3f1                        defined in subs3q noncom2
subsetrd                       defined in mathml mml_ir
superprinm                     defined in cslcompat pretty
superprintm                    defined in cslcompat pretty
swap                           defined in vect sparsmat
symbol                         defined in mprint utf8
symmetricp                     defined in cholesky splinalg rankstat
taylor                         defined in approx orthovec
taylorfunction                 defined in idepend algint
taylorp                        defined in idepend pade
tconc                          defined in records sl2psl
tensor                         defined in gentens tensorio expres
texlet                         defined in rlfi tri
third                          defined in cslrend avector
tokbquote                      defined in tok bquote
tp                             defined in matsm sparsmat
transposerd                    defined in mathml mml_ir
trim                           defined in recsimpl zeilberg
ttttype_ratpoly                defined in qsum zeilberg residue contfrac
tttype_ratpoly                 defined in qsum zeilberg
type_ratpoly                   defined in qsum simplede zeilberg residue contfrac
typerr                         defined in lpri intro
unchecked_getmatelem           defined in lamatrix matarg
upperlimitrd                   defined in mathml mml_ir
varpoint                       defined in geometry geoprover
vdpevlmon                      defined in vdp2dip vdpcom
vdpnumber                      defined in vdp2dip groebner
vdppoly                        defined in vdp2dip vdpcom
vdpzero!?                      defined in vdp2dip vdpcom
vector!+p                      defined in gramschm symatvec
vectoradd                      defined in avector orthovec
vectorml                       defined in mathml mml_ir
vectorplus                     defined in avector orthovec
vectorrd                       defined in mathml mml_ir
vevstrictlydivides!?           defined in traverso ncgroeb
vevzero!?                      defined in a2dip vdp2dip vdpcom
wedgek2                        defined in wedge xexcalc
